Year	AML/MDS/CML	AML/MDS	yearly_inc
1	"1e-04 (0, 1e-04)"	1.00E-04	0.0001
2	"8e-04 (4e-04, 0.0012)"	7.00E-04	0.0006
3	"0.0013 (7e-04, 0.0018)"	0.0012	5.00E-04
4	"0.002 (0.0013, 0.0027)"	0.0019	0.0007
5	"0.0024 (0.0016, 0.0032)"	0.0023	0.0004
6	"0.0028 (0.0019, 0.0036)"	0.0026	0.0003
7	"0.0035 (0.0024, 0.0046)"	0.0033	0.0007
8	"0.0039 (0.0027, 0.0051)"	0.0035	0.0002
9	"0.0044 (0.003, 0.0058)"	0.0041	0.0006
10	"0.0048 (0.0032, 0.0064)"	0.0044	0.0003
